event_id,event_name,action_ids,categories,required_by,status,query_count,search_result_count,unique_market_count,snapshot_count,definition_count,issue_counts_json,first_query,first_command
chinese_gp,Chinese Grand Prix,"chinese_gp:market_snapshot,chinese_gp:late_market_replacement","market_snapshot_required,after_cutoff_market_replacement",2026-03-15T00:00:00+00:00,search_results_need_review,5,109,44,0,0,"{""season_mismatch"": 32, ""unsupported_market_type"": 12}",2026 Chinese Grand Prix winner,python -m f1predict.cli search-polymarket-season --event chinese_gp --limit 15 --include-closed --output reports\market_normalization\chinese_gp_season_search.json
japanese_gp,Japanese Grand Prix,"japanese_gp:market_snapshot,japanese_gp:late_market_replacement","market_snapshot_required,after_cutoff_market_replacement",2026-03-29T00:00:00+00:00,search_results_need_review,5,107,33,0,0,"{""season_mismatch"": 33}",2026 Japanese Grand Prix winner,python -m f1predict.cli search-polymarket-season --event japanese_gp --limit 15 --include-closed --output reports\market_normalization\japanese_gp_season_search.json
miami_gp,Miami Grand Prix,miami_gp:market_snapshot,market_snapshot_required,2026-05-03T00:00:00+00:00,search_results_need_review,5,319,87,0,0,"{""season_mismatch"": 87}",2026 Miami Grand Prix winner,python -m f1predict.cli search-polymarket-season --event miami_gp --limit 15 --include-closed --output reports\market_normalization\miami_gp_season_search.json
canadian_gp,Canadian Grand Prix,canadian_gp:market_snapshot,market_snapshot_required,2026-05-24T00:00:00+00:00,search_results_need_review,5,269,76,0,0,"{""season_mismatch"": 76}",2026 Canadian Grand Prix winner,python -m f1predict.cli search-polymarket-season --event canadian_gp --limit 15 --include-closed --output reports\market_normalization\canadian_gp_season_search.json
monaco_gp,Monaco Grand Prix,monaco_gp:market_snapshot,market_snapshot_required,2026-06-07T00:00:00+00:00,search_results_need_review,5,217,70,0,0,"{""season_mismatch"": 70}",2026 Monaco Grand Prix winner,python -m f1predict.cli search-polymarket-season --event monaco_gp --limit 15 --include-closed --output reports\market_normalization\monaco_gp_season_search.json
barcelona_gp,Barcelona Grand Prix,barcelona_gp:market_snapshot,market_snapshot_required,2026-06-14T00:00:00+00:00,search_results_need_review,10,1443,1273,0,0,"{""season_mismatch"": 64}",2026 Barcelona Grand Prix winner,python -m f1predict.cli search-polymarket-season --event barcelona_gp --limit 15 --include-closed --output reports\market_normalization\barcelona_gp_season_search.json
austrian_gp,Austrian Grand Prix,austrian_gp:market_snapshot,market_snapshot_required,2026-06-28T00:00:00+00:00,search_results_need_review,5,290,131,0,0,"{""season_mismatch"": 81}",2026 Austrian Grand Prix winner,python -m f1predict.cli search-polymarket-season --event austrian_gp --limit 15 --include-closed --output reports\market_normalization\austrian_gp_season_search.json
